timestamp,lat,lon
2025-08-16 22:44:02.654343+00:00,31.2311,-149.386
2025-08-16 22:44:03.987129+00:00,31.1643,-149.3099
2025-08-16 22:44:19.449345+00:00,30.4929,-148.5551
2025-08-16 22:44:20.780653+00:00,30.4255,-148.4802
2025-08-16 22:44:33.128788+00:00,29.8617,-147.8607
2025-08-16 22:44:34.506172+00:00,29.8165,-147.8115
2025-08-16 22:44:38.905681+00:00,29.6126,-147.5905
2025-08-16 22:44:40.236771+00:00,29.5445,-147.5171
2025-08-16 22:44:41.670535+00:00,29.4764,-147.4437
2025-08-16 22:44:50.169537+00:00,29.0896,-147.0303
2025-08-16 22:44:51.602059+00:00,29.0212,-146.9576
2025-08-16 22:44:53.957163+00:00,28.9299,-146.861
2025-08-16 22:44:55.290454+00:00,28.8614,-146.7886
2025-08-16 22:44:56.620643+00:00,28.7928,-146.7164
2025-08-16 22:44:57.931890+00:00,28.7471,-146.6682
2025-08-16 22:44:59.385893+00:00,28.6784,-146.5961
2025-08-16 22:45:00.819295+00:00,28.6097,-146.5241
2025-08-16 22:45:02.253304+00:00,28.541,-146.4522
2025-08-16 22:45:03.582746+00:00,28.472,-146.3802
2025-08-16 22:45:04.916393+00:00,28.4261,-146.3324
2025-08-16 22:45:06.245211+00:00,28.3573,-146.2608
2025-08-16 22:45:10.649975+00:00,28.1504,-146.0465
